ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffness,stiffnessROC,damping,dampingROC,NVP
106,1,low,0.5,2.4128849143440812E-2,-0.2913375226002326,-62.799569925656819,I,9000,0.5237559449419696,1.5756730819473929e-6,-6.039877327951084,-4.96107151588987e-7,1.493663274229553
115,1,low,0.5,2.461566240160673E-2,-0.2913358267120093,-59.240175726957808,I,9000,0.46860676592579503,2.0442022636157355e-6,-6.043559545170145,-1.0483321599750184e-6,1.461867123417723
116,1,low,10,2.3821421721616297E-2,-0.29134057453917039,-62.451156282278447,I,9000,0.5495337006238282,-5.775958663868374e-7,0.7172518603597045,-4.546751458664566e-6,1.5448092618086491
117,1,low,5,2.5272102221972091E-2,-0.29134028378272486,-62.471672978966268,I,9000,0.610757879066653,-3.341092151535663e-6,0.5066883710837624,-4.011755891480728e-6,1.5515155516429846
119,1,low,2,2.5382086905547281E-2,-0.29133856940915154,-61.845186771667528,I,9000,0.5549175792913666,-1.278771872542328e-6,-5.918673920372867,-7.997350905077915e-6,1.6661765331318048
137,1,low,14.995652173913042,2.2337381035514036E-2,-0.29133121992185868,-58.836185088457398,I,5000,0.43511381830886475,-8.279047421667074e-7,0.9300512417325151,-2.732072410438491e-7,1.5058587827815639
139,1,low,0.5,2.4281769732657284E-2,-0.69291295559246502,-56.673020726236999,I,5000,-0.42776470658836924,-9.873765124499555e-7,-2.9031254908518545,-1.2906253113365018e-6,1.5130475521357154
140,1,low,15.002564102564103,1.4673231262834157E-2,-0.2913399411996892,-60.168816557692132,I,5000,0.4587109181670364,1.3245094072078522e-7,0.9200554418143285,-3.848715469705333e-7,1.487717559770269
144,1,low,2,2.5744210366941581E-2,-0.29133741391286039,-57.720437924635853,I,5000,0.47198166366752536,-2.5940538862811447e-6,-5.925392275560746,1.95920243616321e-6,1.81775598524807
146,1,low,15,2.2408634659225365E-2,-0.29143764479162365,-61.767442515413371,I,5000,0.4355395921158383,-7.436490416873332e-8,0.9264368986358376,-3.095612888752708e-7,1.5410044713351054
167,1,low,10,7.801228054574684E-2,-0.29130418402857716,-70.557869817436028,I,5050,0.40170415033226636,-1.591992719779125e-6,0.74353254632081,-4.091395092180911e-7,1.7086847030775214
104,1,high,0.5,2.4152293346591594E-2,-0.52755769422532572,-6.8013223668039462,I,9000,0.06372077747358906,3.464272294862042e-7,-6.0081754013166515,-1.1024306190217103e-6,1.5398277129335456
113,1,high,0.5,2.4258753733764193E-2,-0.52755998521085357,-5.40974125626341,I,9000,0.05143552718371965,7.49092386698666e-8,-5.897278790721711,-2.2409907591898204e-6,1.6365178311862039
114,1,high,0.5,2.4300551446183816E-2,-0.44881906066950328,-4.238312376470029,I,9000,0.03900184428008283,2.8649366968346717e-7,-5.93266335180775,-1.2983670498920573e-6,1.5286620175445362
120,1,high,2,2.4319551746456163E-2,-0.44881966137082407,-4.683026855760013,I,9000,0.04216401578566775,1.2337682861296438e-7,-5.806544253478904,-6.984515903658561e-7,1.6458282287787851
123,1,high,10,2.3155500796167072E-2,-0.52756846100808852,-5.730141348165807,I,9000,0.11534499132738173,-3.465081111647672e-8,0.49328992857182596,-1.271549362598101e-7,1.5032296701167387
124,1,high,5,2.4043844946017488E-2,-0.52756540793483053,-5.8597449459478606,I,9000,0.07946432530375598,-3.8485432658302845e-8,-5.5300763778904285,5.6694685230951336e-8,1.6431386677977997
131,1,high,2,2.4288179423705203E-2,-0.52755877026996834,-5.8932509077896755,I,9000,0.07228991265285487,-2.7993659757613585e-9,-5.66500569779576,-1.365340764607481e-7,1.6610425567700065
138,1,high,0.5,2.4139612236788142E-2,-0.45669205351708692,-6.0756811161405908,I,5000,-0.07579073030959498,-6.367685685006591e-7,-2.878982323281967,-4.4699754528787495e-7,1.5177707934144735
155,1,high,0.5,2.4770290556294913E-2,-0.45669222240591623,-7.6083469277822866,I,5000,-0.09638954302426224,1.313972589899598e-7,-2.8789905442208874,-4.283638016675973e-6,1.6752235372677891
