ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffnessFrac,dampingFrac,stiffness,damping,stiffnessROC,dampingROC,NVP
140,1,low,15.002564102564103,1.4673231262834157E-2,-0.2913399411996892,-60.168816557692132,B,250,0.9918556059485084,0.999036052889341,0.4611292662588602,0.922869371644812,-1.5145827398922007e-5,-1.8561357162187874e-6,1.4867545392342727
144,1,low,2,2.5744210366941581E-2,-0.29133741391286039,-57.720437924635853,B,250,0.9898913449354898,0.9926690960197625,0.4764413629135762,-5.914041778128659,-1.9461454717425886e-5,-0.025142672252510125,1.6801464537083233
146,1,low,15,2.2408634659225365E-2,-0.29143764479162365,-61.767442515413371,B,250,0.9830889073103846,1.0009843838691765,0.4448128004815539,0.9298885702628312,-3.060667429989028e-5,1.8864683790953408e-6,1.5569128074476613
167,1,low,10,7.801228054574684E-2,-0.29130418402857716,-70.557869817436028,B,250,0.9208400728177023,1.0201521434184675,0.44374564092330815,0.7505405420628288,-1.5258620322838667e-4,3.977634962192278e-5,1.6930756284063286
104,1,high,0.5,2.4152293346591594E-2,-0.52755769422532572,-6.8013223668039462,B,2000,0.985295806783602,0.9453491675062806,0.06233664923197182,-6.000704226111376,-4.6514464410537043e-7,-0.003149295108298088,1.5162217708648773
113,1,high,0.5,2.4258753733764193E-2,-0.52755998521085357,-5.40974125626341,B,2000,0.9855103844845019,0.9794818692049613,0.049918717704552425,-5.886374126253406,-3.669687493673621e-7,-0.0031453143774149497,1.5943024076075307
114,1,high,0.5,2.4300551446183816E-2,-0.44881906066950328,-4.238312376470029,B,2000,1.0397515449481702,0.9545171791888344,0.037486603747965475,-5.92405493325294,7.16589660809678e-7,-0.0031493854954004735,1.5436138081109159
120,1,high,2,2.4319551746456163E-2,-0.44881966137082407,-4.683026855760013,B,2000,1.0191152748815817,0.9712935217561087,0.04127253163580456,-5.7982652663526295,3.8706896399372247e-7,-0.0031476476562473533,1.615247601995383
123,1,high,10,2.3155500796167072E-2,-0.52756846100808852,-5.730141348165807,B,2000,0.9954119941399692,0.9912806090508733,0.11590762818787206,0.49379138618448737,-2.671179775202981e-7,-1.8318894324944601e-6,1.5116179817250017
124,1,high,5,2.4043844946017488E-2,-0.52756540793483053,-5.8597449459478606,B,2000,0.9997084923687044,0.9937644841820138,0.07955399865334807,-5.528975377045555,-1.1598679957487702e-8,-1.561012460785882e-6,1.6255595235640876
131,1,high,2,2.4288179423705203E-2,-0.52755877026996834,-5.8932509077896755,B,2000,1.0078850408189544,0.9865284433595287,0.07173805294068084,-5.660621218874242,2.8061606869864835e-7,-0.003144812096400911,1.6285527996224773
138,1,high,0.5,2.4139612236788142E-2,-0.45669205351708692,-6.0756811161405908,B,250,1.013896327236985,0.94349625978029,0.06916983554523008,-2.877199925810785,3.792129999264815e-6,-6.0174159163677745e-5,1.6633440140700917
155,1,high,0.5,2.4770290556294913E-2,-0.45669222240591623,-7.6083469277822866,B,250,0.9930091723649516,0.9794432114372115,0.09389985814891806,-2.8781080722060497,-2.644236293250779e-6,-2.1080435313002965e-5,1.6038396386696234
107,2,low,0.5,2.4039107664406652E-2,-0.29133322325570032,-110.36201609756436,B,2000,0.9821933607061367,0.9155235694069408,1.1394747222450201,-6.042036483680682,-1.0329033047476899e-5,-0.0031522342456603747,1.4924486156628742
118,2,low,0.29999999999999993,2.4718528557623479E-2,-0.29133607283822832,-99.292455569186998,B,2000,1.0255996216159018,0.8930472584424647,1.00228793234682,-6.060791311643362,1.2508873481172356e-5,-0.00315439758007963,1.435540374919803
125,2,low,10.007692307692308,2.3109187217787746E-2,-0.29135883272624691,-116.38172865434537,B,2000,0.9194997310938176,0.9954651370144166,1.215258481977296,0.6791489724037292,-5.3196662968740924e-5,0.003140481389148247,1.5454847261642386
126,2,low,0.40000000000000008,2.4061549102421653E-2,-0.29133551917199146,-99.961184560208238,B,2000,1.007284439286612,0.9104392752006646,0.9681941196866677,-6.052932536876826,3.500873739053889e-6,-0.0031524642597103372,1.4914173520050402
154,2,low,0.5,2.4446100643851307E-2,-0.69291603183379524,-111.27783380790446,B,250,0.9798819527167439,0.9652942223198286,1.1299358882145667,-2.8955068631037997,-9.279527421899481e-5,-0.025166647134443238,1.4395190603666386
105,2,high,0.5,2.4053768858335774E-2,-0.52755878135939549,-11.309205798293299,B,2000,0.9604036320950422,0.9296550076828982,0.12306456792650539,-6.0108436531887275,-2.5369072673396276e-6,-0.0031513398188963925,1.5693052745552167
127,2,high,10,2.3120995267766595E-2,-0.52757893569880199,-11.286631204923472,B,2000,0.9572360048380247,1.0125286884806435,0.1125243401550504,0.8723056197074519,-2.513481687731377e-6,3.069037743815284e-6,1.6071310148956326
150,2,high,15,7.5980023919371517E-2,-0.52758250913579996,-11.247552581452979,B,250,0.9315509374704963,1.0280531133189286,0.07536837756446423,1.0986557598411468,-2.215185270562037e-5,4.5186165280629356e-5,2.3805069020431557
151,2,high,14.996666666666666,2.2209895777175647E-2,-0.52757296345442162,-10.128652239928856,B,250,0.9665878306050321,1.0206282119250836,0.0705457040409046,1.1421059394876127,-9.754250731779101e-6,3.1083842973424144e-05,1.518832329009917
